N,Location,Zone,Station,MMA,Lon,Lat
1,Unguja,ZONE III,Pange sand Bank 1,CHABAMCA,39.1547,-6.185
2,Unguja,ZONE III,Pange sand Bank 2,CHABAMCA,39.1583,-6.185
3,Unguja,ZONE III,Mwana wa Mwana 1,TUMCA,39.2171,-5.7626
4,Unguja,ZONE III,Mwana wa Mwana 2,TUMCA,39.2154,-5.7752
5,Unguja,ZONE III,Pingwe-Dongwe Lagoon,MIMCA,39.5307,-6.1713
6,Unguja,ZONE III,Kwale 1,MBCA,39.2856,-6.387
7,Unguja,ZONE III,Kwale 2,MBCA,39.2901,-6.3925
8,Unguja,ZONE III,Aquarium,MIMCA,39.3899,-5.8361
9,Unguja,ZONE III,Blue corner,MIMCA,39.3965,-5.8409
10,Unguja,ZONE III,Bawe North,CHABAMCA,39.1354,-6.1448
11,Unguja,ZONE III,Bawe South,CHABAMCA,39.1326,-6.1577
12,Unguja,ZONE III,Changuu,CHABAMCA,39.1692,-6.1176
13,Unguja,ZONE III,Chapwani,CHABAMCA,39.1871,-6.1214
14,Unguja,ZONE III,Chumbe 1,CHABAMCA,39.1744,-6.2793
15,Unguja,ZONE III,Chumbe 2,CHABAMCA,39.1743,-6.277
16,Unguja,ZONE III,Two stone,CHABAMCA,39.1599,-6.193
17,Pemba,ZONE III,Aiyana,PECCA,39.6749,-4.8908
18,Pemba,ZONE III,House Reef,PECCA,39.6755,-4.8866
19,Pemba,ZONE III,Scorpion Secret,PECCA,39.6749,-4.8837
20,Pemba,ZONE III,Pemba Paradise,PECCA,39.6746,-4.8998
21,Pemba,ZONE III,Misali Coral Garlden,PECCA,39.5923,-5.2449
22,Pemba,ZONE III,Misali coral mountain,PECCA,39.5963,-5.2375
23,Pemba,ZONE III,Misali Kijiwe Bendera,PECCA,39.6115,-5.238
24,Pemba,ZONE III,Kukuu Reef,Pemba East,39.6872,-5.4829
25,Pemba,ZONE III,Shamiani Kiweni Reef,Pemba East,39.7159,-5.4702
26,Pemba,ZONE III,Chambani Reef,Pemba East,39.8122,-5.3686
27,Pemba,ZONE III,Furaha Reef,Pemba East,39.8428,-5.2684
28,Pemba,ZONE III,Kojani Gap,Pemba East,39.8719,-5.1079
29,Pemba,ZONE III,Vumawimbi Reef,Pemba East,39.7012,-4.9024
30,Tanga,ZONE I,Dambwe East,TMRs,39.0076,-5.6438
31,Tanga,ZONE I,Dambwe West,TMRs,39.0013,-5.641
32,Tanga,ZONE I,Maziwe Dive,TMRs,38.9908,-5.5299
33,Tanga,ZONE I,Maziwe North,TMRs,39.0656,-5.4979
34,Tanga,ZONE I,Maziwe South,TMRs,39.0625,-5.508
35,Tanga,ZONE I,Fungu Zinga,TMRs,39.0454,-5.5325
36,Tanga,ZONE I,Ulenge Rasini,TMRs,39.1691,-5.003
37,Tanga,ZONE I,Ulenge Kusini,TMRs,39.1656,-5.0244
38,Tanga,ZONE I,Kwale Mivinjeni A,TMRs,39.172,-4.9886
39,Tanga,ZONE I,Kwale Mivinjeni B,TMRs,39.1756,-4.9752
40,Tanga,ZONE I,Bunju Kaskazini,TMRs,39.2685,-4.7638
41,Tanga,ZONE I,Bunju Kusini,TMRs,39.2698,-4.76
42,Tanga,ZONE I,Mwezi Kaskazini,TMRs,39.2341,-4.7554
43,Tanga,ZONE I,Mwezi Kusini,TMRs,39.2332,-4.7556
44,Tanga,ZONE I,Mbayai,TMRs,39.2237,-4.716
45,Tanga,ZONE I,Kirui Shangani,TMRs,39.2166,-4.7564
46,Tanga,ZONE I,Kirui Rasini,TMRs,39.2039,-4.7766
47,Mafia,ZONE IV,Msumbiji,MIMP,39.7948,-7.9622
48,Mafia,ZONE IV,Kisiwa kikubwa,MIMP,39.7982,-7.9607
49,Mafia,ZONE IV,Utumbi*,MIMP,39.7873,-7.9478
50,Mafia,ZONE IV,Kitutia,MIMP,39.6501,-8.1191
51,Mafia,ZONE IV,Mange,MIMP,39.5977,-8.079
52,Mafia,ZONE IV,Chawe,MIMP,39.78,-7.9275
53,Mafia,ZONE IV,Nyamalile North*,MIMP,39.5108,-8.0285
54,Mafia,ZONE IV,Nyamalile South*,MIMP,39.5087,-8.042
55,Mafia,ZONE IV,Yuyuni,MIMP,39.8138,-7.9823
56,Mafia,ZONE IV,Kifinge*,MIMP,39.8635,-7.8495
57,Dar es Salaam,ZONE II,Mbudya North West,DMRS,39.244,-6.6539
58,Dar es Salaam,ZONE II,Mbudya South West,DMRS,39.2486,-6.6611
59,Dar es Salaam,ZONE II,Bongoyo North West,DMRS,39.258,-6.6902
60,Dar es Salaam,ZONE II,Bongoyo South West,DMRS,39.2647,-6.701
61,Dar es Salaam,ZONE II,Fungu yasini,DMRS,39.2274,-6.5918
62,Dar es Salaam,ZONE II,Sinda,DMRS,39.3929,-6.8204
63,Dar es Salaam,ZONE II,Mbudya 1,DMRS,39.244,-6.6532
64,Dar es Salaam,ZONE II,Mbudya 2,DMRS,39.2485,-6.661
65,Dar es Salaam,ZONE II,Bongoyo 1,DMRS,39.259,-6.6967
66,Dar es Salaam,ZONE II,Bongoyo 2,DMRS,39.2629,-6.6995
67,Dar es Salaam,ZONE II,Bongoyo 3,DMRS,39.2662,-6.7522
68,Dar es Salaam,ZONE II,FunguYasini North west,DMRS,39.2274,-6.5918
69,Dar es Salaam,ZONE II,Funguyasin South west,DMRS,39.2252,-6.5982
70,Dar es Salaam,ZONE II,Sinda _1,DMRS,39.3911,-6.8253
71,Dar es Salaam,ZONE II,Sinda 2,DMRS,39.3929,-6.8204
72,Dar es Salaam,ZONE II,Makatube 1,DMRS,39.3317,-6.796
73,Dar es Salaam,ZONE II,Makatube 2,DMRS,39.3312,-6.7933
74,Dar es Salaam,ZONE II,Kendwa 1,DMRS,39.3561,-6.8176
75,Dar es Salaam,ZONE II,Kendwa 2,DMRS,39.35,-6.8151
76,Mtwara,ZONE V,Ruvula channel (Rasmo)*,MBREMP,40.3888,-10.3148
77,Mtwara,ZONE V,Pinnacles,MBREMP,40.4132,-10.2927
78,Mtwara,ZONE V,Kieti,MBREMP,40.3821,-10.3466
79,Mtwara,ZONE V,Chamba cha kati,MBREMP,40.369,-10.3162
80,Mtwara,ZONE V,Matenga,MBREMP,40.3626,-10.323
81,Mtwara,ZONE V,Membelwa Inner,MBREMP,40.3417,-10.2744
82,Mtwara,ZONE V,Membelwa Outer,MBREMP,40.3559,-10.2457
83,Tanga,ZONE I,Makome,TACMP,39.1155,-5.2811
84,Tanga,ZONE I,Chanjale,TACMP,39.0674,-5.3138
85,Tanga,ZONE I,Kitanga,TACMP,39.0733,-5.2977
86,Tanga,ZONE I,Upangu,TACMP,39.0804,-5.3169
87,Tanga,ZONE I,Shenguwe,TACMP,39.1055,-5.2453
88,Tanga,ZONE I,Taa,TACMP,39.0975,-5.3022
89,Tanga,ZONE I,Funguni,TACMP,39.1269,-5.2679
90,Tanga,ZONE I,Majivike,TACMP,39.1181,-5.3494
91,Tanga,ZONE I,Jambe 2,TACMP,39.1686,-5.0895
92,Tanga,ZONE I,Jambe 1,TACMP,39.1677,-5.0966
